Date,Goal_Completions,Organic,Generic_Paid_Search,Direct,Display,Paid_Search,Social,Referral,COVID-19,Day_of_Week
7/26/18,15,283,167,128,0,0,26,39,0,5
7/27/18,14,215,172,99,0,0,19,32,0,6
7/28/18,3,90,148,55,2,0,11,9,0,7
7/29/18,8,84,211,37,0,0,14,11,0,1
7/30/18,23,339,141,121,0,0,23,35,0,2
7/31/18,19,315,137,113,0,2,23,100,0,3
8/1/18,22,281,144,120,0,0,9,28,0,4
8/2/18,12,339,130,123,0,0,21,62,0,5
8/3/18,10,206,111,83,0,0,11,12,0,6
8/4/18,5,93,132,42,0,0,4,9,0,7
8/5/18,9,130,132,46,0,0,14,12,0,1
8/6/18,28,364,176,95,0,0,14,19,0,2
8/7/18,16,297,178,106,0,0,21,88,0,3
8/8/18,23,318,213,141,0,2,14,35,0,4
8/9/18,29,287,164,146,0,2,21,35,0,5
8/10/18,63,259,164,107,0,0,28,25,0,6
8/11/18,2,121,150,62,0,0,25,9,0,7
8/12/18,10,157,151,77,0,0,25,4,0,1
8/13/18,30,403,229,320,0,0,95,67,0,2
8/14/18,17,350,201,288,0,0,104,47,0,3
8/15/18,25,315,193,220,0,0,83,37,0,4
8/16/18,28,283,190,227,0,0,25,70,0,5
8/17/18,16,208,139,151,0,0,35,65,0,6
8/18/18,8,90,139,35,0,0,19,9,0,7
8/19/18,10,84,162,40,0,0,7,16,0,1
8/20/18,20,244,153,135,0,0,26,51,0,2
8/21/18,23,250,188,157,0,0,46,76,0,3
8/22/18,19,257,197,139,0,0,25,33,0,4
8/23/18,15,186,183,195,0,0,33,37,0,5
8/24/18,11,201,151,125,0,0,33,40,0,6
8/25/18,7,81,125,42,0,0,7,26,0,7
8/26/18,18,97,176,93,0,0,46,39,0,1
8/27/18,17,271,186,185,0,0,53,100,0,2
8/28/18,20,255,193,174,0,0,25,100,0,3
8/29/18,31,257,199,179,0,0,37,40,0,4
8/30/18,22,188,234,141,0,0,37,33,0,5
8/31/18,16,164,185,128,0,0,46,55,0,6
9/1/18,3,69,155,28,0,0,12,47,0,7
9/2/18,8,44,172,51,0,0,19,9,0,1
9/3/18,7,113,176,44,0,0,23,12,0,2
9/4/18,17,264,199,132,0,0,35,47,0,3
9/5/18,29,322,188,151,0,0,30,25,0,4
9/6/18,34,276,201,151,0,0,32,28,0,5
9/7/18,23,236,174,150,0,0,21,39,0,6
9/8/18,8,120,146,49,0,0,23,9,0,7
9/9/18,14,99,158,25,0,0,51,4,0,1
9/10/18,21,264,158,123,0,0,28,32,0,2
9/11/18,14,234,176,160,0,0,30,32,0,3
9/12/18,24,218,172,137,0,0,30,49,0,4
9/13/18,13,216,150,125,0,0,33,39,0,5
9/14/18,18,211,157,135,0,0,30,25,0,6
9/15/18,4,91,150,62,0,0,28,14,0,7
9/16/18,21,116,157,51,0,0,28,2,0,1
9/17/18,32,264,206,121,0,0,39,53,0,2
9/18/18,32,271,178,179,0,0,33,49,0,3
9/19/18,19,322,178,151,0,0,30,35,0,4
9/20/18,25,260,155,151,0,0,18,37,0,5
9/21/18,9,216,192,99,0,0,28,23,0,6
9/22/18,7,76,150,32,0,0,16,26,0,7
9/23/18,16,93,183,51,0,0,39,12,0,1
9/24/18,31,288,229,148,0,2,42,23,0,2
9/25/18,25,317,215,195,0,0,47,39,0,3
9/26/18,14,260,171,311,0,0,30,39,0,4
9/27/18,13,253,151,208,0,0,28,28,0,5
9/28/18,9,213,150,113,0,0,32,33,0,6
9/29/18,5,49,127,23,0,0,7,7,0,7
9/30/18,9,76,132,28,0,0,5,26,0,1
10/1/18,16,260,186,134,0,0,21,62,0,2
10/2/18,21,339,172,164,0,0,11,25,0,3
10/3/18,15,271,158,211,0,0,32,40,0,4
10/4/18,22,273,148,134,0,165,23,56,0,5
10/5/18,19,193,135,164,0,142,25,26,0,6
10/6/18,9,74,134,67,0,137,14,11,0,7
10/7/18,8,76,148,21,0,162,25,14,0,1
10/8/18,26,222,197,127,0,155,46,25,0,2
